ec	substrate	substrate_normalized
1.1.1.1	(+)-2-methylcyclohexanone	(+)-2-methylcyclohexanone
1.1.1.1	(+/-)-3-methylcyclohexanone	(+/-)-3-methylcyclohexanone
1.1.1.1	(-)-carvone	(-)-carvone
1.1.1.1	(1R)-2,2,2-trifluoro-1-phenylethanol	(1r)-2,2,2-trifluoro-1-phenylethanol
1.1.1.1	(1R)-2,2-difluoro-1-phenylethanol	(1r)-2,2-difluoro-1-phenylethanol
1.1.1.1	(1R)-2-chloro-1-(2,4-dichlorophenyl)ethan-1-ol	(1r)-2-chloro-1-(2,4-dichlorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-chloro-1-(2,4-fluorophenyl)ethan-1-ol	(1r)-2-chloro-1-(2,4-fluorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-chloro-1-(4-fluorophenyl)ethan-1-ol	(1r)-2-chloro-1-(4-fluorophenyl)ethan-1-ol
1.1.1.1	(1R)-2-fluoro-1-(4-chlorophenyl)ethanol	(1r)-2-fluoro-1-(4-chlorophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-(4-fluorophenyl)ethanol	(1r)-2-fluoro-1-(4-fluorophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-(4-iodophenyl)ethanol	(1r)-2-fluoro-1-(4-iodophenyl)ethanol
1.1.1.1	(1R)-2-fluoro-1-phenylethanol	(1r)-2-fluoro-1-phenylethanol
1.1.1.1	(1S,3S)-3-methylcyclohexanol	(1s,3s)-3-methylcyclohexanol
1.1.1.1	(2-nitrophenyl)methanol	(2-nitrophenyl)methanol
1.1.1.1	(2E)-2-methylpent-2-en-1-ol	(2e)-2-methylpent-2-en-1-ol
1.1.1.1	(2E)-2-methylpent-2-enal	(2e)-2-methylpent-2-enal
1.1.1.1	(2E)-3,7-dimethylocta-2,6-dien-1-ol	(2e)-3,7-dimethylocta-2,6-dien-1-ol
1.1.1.1	(2E)-3,7-dimethylocta-2,6-dienal	(2e)-3,7-dimethylocta-2,6-dienal
1.1.1.1	(2E)-3-phenylprop-2-enal	(2e)-3-phenylprop-2-enal
1.1.1.1	(2E)-4-hydroxynon-2-enal	(2e)-4-hydroxynon-2-enal
1.1.1.1	(2E)-but-2-en-1-ol	(2e)-but-2-en-1-ol
1.1.1.1	(2E)-but-2-enal	(2e)-but-2-enal
1.1.1.1	(2E)-dec-2-en-1-ol	(2e)-dec-2-en-1-ol
1.1.1.1	(2E)-dec-2-enal	(2e)-dec-2-enal
1.1.1.1	(2E)-hex-2-en-1-ol	(2e)-hex-2-en-1-ol
1.1.1.1	(2E)-hex-2-enal	(2e)-hex-2-enal
1.1.1.1	(2E)-non-2-ene-1,4-diol	(2e)-non-2-ene-1,4-diol
1.1.1.1	(2E)-oct-2-en-1-ol	(2e)-oct-2-en-1-ol
1.1.1.1	(2E)-oct-2-enal	(2e)-oct-2-enal
1.1.1.1	(2S)-1-(4-methoxyphenyl)propan-2-ol	(2s)-1-(4-methoxyphenyl)propan-2-ol
1.1.1.1	(3R,5S)-6-benzyloxy-3,5-dihydroxy-hexanoic acid ethyl ester	(3r,5s)-6-benzyloxy-3,5-dihydroxy-hexanoic acid ethyl ester
1.1.1.1	(4S,6S)-5,6-dihydro-4-hydroxy-6-methyl-4H-thieno[2,3b]thiopyran-7,7-dioxide	(4s,6s)-5,6-dihydro-4-hydroxy-6-methyl-4h-thieno[2,3b]thiopyran-7,7-dioxide
1.1.1.1	(6-methoxynaphthalen-2-yl)methanol	(6-methoxynaphthalen-2-yl)methanol
1.1.1.1	(6S)-5,6-dihydro-6-methyl-4H-thieno[2,3b]thiopyran-4-one-7,7-dioxide	(6s)-5,6-dihydro-6-methyl-4h-thieno[2,3b]thiopyran-4-one-7,7-dioxide
1.1.1.1	(E)-hex-2-en-1-ol	(e)-hex-2-en-1-ol
1.1.1.1	(E)-hex-2-en-1-one	(e)-hex-2-en-1-one
1.1.1.1	(R)-1-(2-pyridyl)ethanol	(r)-1-(2-pyridyl)ethanol
1.1.1.1	(R)-1-(3-pyridyl)ethanol	(r)-1-(3-pyridyl)ethanol
1.1.1.1	(R)-1-(4-pyridyl)ethanol	(r)-1-(4-pyridyl)ethanol
1.1.1.1	(R)-1-(pyrazyl)ethanol	(r)-1-(pyrazyl)ethanol
1.1.1.1	(R)-1-indanol	(r)-1-indanol
1.1.1.1	(R)-1-phenyl-1-butanol	(r)-1-phenyl-1-butanol
1.1.1.1	(R)-1-phenyl-1-propanol	(r)-1-phenyl-1-propanol
1.1.1.1	(R)-1-phenyl-2-butanol	(r)-1-phenyl-2-butanol
1.1.1.1	(R)-1-phenylethanol	(r)-1-phenylethanol
1.1.1.1	(R)-2,2,2-trifluoro-1-phenylethanol	(r)-2,2,2-trifluoro-1-phenylethanol
1.1.1.1	(R)-2-butanol	(r)-2-butanol
1.1.1.1	(R)-2-heptanol	(r)-2-heptanol
1.1.1.1	(R)-2-hexanol	(r)-2-hexanol
1.1.1.1	(R)-2-octanol	(r)-2-octanol
1.1.1.1	(R)-2-pentanol	(r)-2-pentanol
1.1.1.1	(R)-2-phenylpropanal	(r)-2-phenylpropanal
1.1.1.1	(R)-2-phenylpropanol	(r)-2-phenylpropanol
1.1.1.1	(R)-3-hydroxy-3-methyl-5-hydroxyvaleric acid	(r)-3-hydroxy-3-methyl-5-hydroxyvaleric acid
1.1.1.1	(R)-3-hydroxy-3-methyl-5-oxovaleric acid	(r)-3-hydroxy-3-methyl-5-oxovaleric acid
1.1.1.1	(R)-3-methylcyclohexanone	(r)-3-methylcyclohexanone
1.1.1.1	(R)-4-phenyl-2-butanol	(r)-4-phenyl-2-butanol
1.1.1.1	(R)-N-benzyl-3-pyrrolidinol	(r)-n-benzyl-3-pyrrolidinol
1.1.1.1	(R)-alpha-(trifluoromethyl)benzyl alcohol	(r)-alpha-(trifluoromethyl)benzyl alcohol
1.1.1.1	(R)-alpha-phenyl ethanol	(r)-alpha-phenyl ethanol
1.1.1.1	(R)-alpha-tetralol	(r)-alpha-tetralol
1.1.1.1	(R)-benzoin	(r)-benzoin
1.1.1.1	(R)-ethyl 2-hydroxypropanoate	(r)-ethyl 2-hydroxypropanoate
1.1.1.1	(R)-mevalonate	(r)-mevalonate
1.1.1.1	(R,S)-2-methyl-butan-1-one	(r,s)-2-methyl-butan-1-one
1.1.1.1	(R,S)-2-methylbutan-1-ol	(r,s)-2-methylbutan-1-ol
1.1.1.1	(S)-(+)-1-indanol	(s)-(+)-1-indanol
1.1.1.1	(S)-(+)-alpha-tetraol	(s)-(+)-alpha-tetraol
1.1.1.1	(S)-(-)-1-phenylethanol	(s)-(-)-1-phenylethanol
1.1.1.1	(S)-(3,4-methylenedioxyphenyl)-2-propanol	(s)-(3,4-methylenedioxyphenyl)-2-propanol
1.1.1.1	(S)-1-indanol	(s)-1-indanol
1.1.1.1	(S)-1-phenyl-1,2-ethanediol	(s)-1-phenyl-1,2-ethanediol
1.1.1.1	(S)-1-phenyl-1-butanol	(s)-1-phenyl-1-butanol
1.1.1.1	(S)-1-phenyl-1-propanol	(s)-1-phenyl-1-propanol
1.1.1.1	(S)-1-phenyl-2-butanol	(s)-1-phenyl-2-butanol
1.1.1.1	(S)-1-phenyl-2-propanol	(s)-1-phenyl-2-propanol
1.1.1.1	(S)-1-phenylethanol	(s)-1-phenylethanol
1.1.1.1	(S)-1-phenyltrifluoroethanol	(s)-1-phenyltrifluoroethanol
1.1.1.1	(S)-2-((3-phenoxy)phenyl)propanol	(s)-2-((3-phenoxy)phenyl)propanol
1.1.1.1	(S)-2-(3,5-dimethylphenyl)propanol	(s)-2-(3,5-dimethylphenyl)propanol
1.1.1.1	(S)-2-(3-(2-phenyl-1,3-dioxolan-2-yl)phenyl)propanol	(s)-2-(3-(2-phenyl-1,3-dioxolan-2-yl)phenyl)propanol
1.1.1.1	(S)-2-(3-(fluoro)biphenyl-4-yl)propanol	(s)-2-(3-(fluoro)biphenyl-4-yl)propanol
1.1.1.1	(S)-2-(3-benzoylphenyl)propanol	(s)-2-(3-benzoylphenyl)propanol
1.1.1.1	(S)-2-(4-isobutylphenyl)propanol	(s)-2-(4-isobutylphenyl)propanol
1.1.1.1	(S)-2-(4-trifluoromethyl)phenylpropanol	(s)-2-(4-trifluoromethyl)phenylpropanol
1.1.1.1	(S)-2-(6-methoxynaphthalen-2-yl)propan-1-ol	(s)-2-(6-methoxynaphthalen-2-yl)propan-1-ol
1.1.1.1	(S)-2-(naphthalen-1-yl)propanol	(s)-2-(naphthalen-1-yl)propanol
1.1.1.1	(S)-2-(naphthalen-2-yl)propanol	(s)-2-(naphthalen-2-yl)propanol
1.1.1.1	(S)-2-butanol	(s)-2-butanol
1.1.1.1	(S)-2-decanol	(s)-2-decanol
1.1.1.1	(S)-2-heptanol	(s)-2-heptanol
1.1.1.1	(S)-2-hexanol	(s)-2-hexanol
1.1.1.1	(S)-2-methyl-butanal	(s)-2-methyl-butanal
1.1.1.1	(S)-2-methylbutan-1-ol	(s)-2-methylbutan-1-ol
1.1.1.1	(S)-2-nonanol	(s)-2-nonanol
1.1.1.1	(S)-2-octanol	(s)-2-octanol
1.1.1.1	(S)-2-pentanol	(s)-2-pentanol
1.1.1.1	(S)-2-phenylpropanal	(s)-2-phenylpropanal
1.1.1.1	(S)-2-phenylpropanol	(s)-2-phenylpropanol
1.1.1.1	(S)-3-hydroxy-3-methyl-5-hydroxyvaleric acid	(s)-3-hydroxy-3-methyl-5-hydroxyvaleric acid
1.1.1.1	(S)-3-hydroxy-3-methyl-5-oxovaleric acid	(s)-3-hydroxy-3-methyl-5-oxovaleric acid
1.1.1.1	(S)-4-phenyl-2-butanol	(s)-4-phenyl-2-butanol
1.1.1.1	(S)-4-phenylbutan-2-ol	(s)-4-phenylbutan-2-ol
1.1.1.1	(S)-N-benzyl-3-pyrrolidinol	(s)-n-benzyl-3-pyrrolidinol
1.1.1.1	(S)-N-p-nitrobenzyloxycarbonyl-3-pyrrolidinol	(s)-n-p-nitrobenzyloxycarbonyl-3-pyrrolidinol
1.1.1.1	(S)-N-tert-butoxycarbonyl-3-pyrrolidinol	(s)-n-tert-butoxycarbonyl-3-pyrrolidinol
1.1.1.1	(S)-alpha-tetralol	(s)-alpha-tetralol
1.1.1.1	(S)-benzyloxycarbonyl-3-pyrrolidinol	(s)-benzyloxycarbonyl-3-pyrrolidinol
1.1.1.1	(S)-ethyl-4-chloro-3-hydroxybutanoate	(s)-ethyl-4-chloro-3-hydroxybutanoate
1.1.1.1	(S)-heptan-2-ol	(s)-heptan-2-ol
1.1.1.1	(S)-pentan-2-ol	(s)-pentan-2-ol
1.1.1.1	(S)-perillaldehyde	(s)-perillaldehyde
1.1.1.1	(S)-perillylalcohol	(s)-perillylalcohol
1.1.1.1	(Z)-hex-2-en-1-ol	(z)-hex-2-en-1-ol
1.1.1.1	(Z)-hex-2-en-1-one	(z)-hex-2-en-1-one
1.1.1.1	(furan-2,5-diyl)dimethanol	(furan-2,5-diyl)dimethanol
1.1.1.1	(rac)-3-methylcyclohexanone	(rac)-3-methylcyclohexanone
1.1.1.1	1,1-dichloroacetone	1,1-dichloroacetone
1.1.1.1	1,1-dichloropropan-2-ol	1,1-dichloropropan-2-ol
1.1.1.1	1,2-bis(2-chlorophenyl)-2-hydroxyethanone	1,2-bis(2-chlorophenyl)-2-hydroxyethanone
1.1.1.1	1,2-butanediol	1,2-butanediol
1.1.1.1	1,2-diphenylethane-1,2-diol	1,2-diphenylethane-1,2-diol
1.1.1.1	1,2-hexanediol	1,2-hexanediol
1.1.1.1	1,2-pentanediol	1,2-pentanediol
1.1.1.1	1,2-propanediol	1,2-propanediol
1.1.1.1	1,3-Propanediol	1,3-propanediol
1.1.1.1	1,3-butanediol	1,3-butanediol
1.1.1.1	1,3-propanediol	1,3-propanediol
1.1.1.1	1,4-Butanediol	1,4-butanediol
1.1.1.1	1,4-butanediol	1,4-butanediol
1.1.1.1	1,5-pentanediol	1,5-pentanediol
1.1.1.1	1-(1H-pyrrol-2-yl)ethanol	1-(1h-pyrrol-2-yl)ethanol
1.1.1.1	1-(2,3,4,5,6-pentafluorophenyl)ethanol	1-(2,3,4,5,6-pentafluorophenyl)ethanol
1.1.1.1	1-(2-chlorophenyl)ethanol	1-(2-chlorophenyl)ethanol
1.1.1.1	1-(3,4-dimethoxyphenyl)propan-2-ol	1-(3,4-dimethoxyphenyl)propan-2-ol
1.1.1.1	1-(3-bromophenyl)ethanol	1-(3-bromophenyl)ethanol
1.1.1.1	1-(3-bromophenyl)ethanone	1-(3-bromophenyl)ethanone
1.1.1.1	1-(3-chlorophenyl)ethanol	1-(3-chlorophenyl)ethanol
1.1.1.1	1-(3-chlorophenyl)ethanone	1-(3-chlorophenyl)ethanone
1.1.1.1	1-(3-methoxyphenyl)ethanol	1-(3-methoxyphenyl)ethanol
1.1.1.1	1-(3-nitrophenyl)ethanol	1-(3-nitrophenyl)ethanol
1.1.1.1	1-(4'-chlorophenyl)ethanol	1-(4'-chlorophenyl)ethanol
1.1.1.1	1-(4'-chlorophenyl)ethanone	1-(4'-chlorophenyl)ethanone
1.1.1.1	1-(4'-fluorophenyl)ethanol	1-(4'-fluorophenyl)ethanol
1.1.1.1	1-(4'-fluorophenyl)ethanone	1-(4'-fluorophenyl)ethanone
1.1.1.1	1-(4-bromophenyl)ethanol	1-(4-bromophenyl)ethanol
1.1.1.1	1-(4-bromophenyl)ethanone	1-(4-bromophenyl)ethanone
1.1.1.1	1-(4-chlorophenyl)butan-1-ol	1-(4-chlorophenyl)butan-1-ol
1.1.1.1	1-(4-chlorophenyl)ethanol	1-(4-chlorophenyl)ethanol
1.1.1.1	1-(4-chlorophenyl)ethanone	1-(4-chlorophenyl)ethanone
1.1.1.1	1-(4-fluorophenyl)ethanol	1-(4-fluorophenyl)ethanol
1.1.1.1	1-(4-fluorophenyl)ethanone	1-(4-fluorophenyl)ethanone
1.1.1.1	1-(4-methylphenyl)ethanol	1-(4-methylphenyl)ethanol
1.1.1.1	1-(4-methylphenyl)ethanone	1-(4-methylphenyl)ethanone
1.1.1.1	1-(p-tolyl)-ethanol	1-(p-tolyl)-ethanol
1.1.1.1	1-Heptanol	1-heptanol
1.1.1.1	1-Hexanol	1-hexanol
1.1.1.1	1-Indanol	1-indanol
1.1.1.1	1-Indanone	1-indanone
1.1.1.1	1-Octanol	1-octanol
1.1.1.1	1-Pentanol	1-pentanol
1.1.1.1	1-benzylpyrrolidin-3-one	1-benzylpyrrolidin-3-one
1.1.1.1	1-butanal	1-butanal
1.1.1.1	1-butanol	1-butanol
1.1.1.1	1-chloro-2-propanol	1-chloro-2-propanol
1.1.1.1	1-chloro-5-(1-hydroxyethyl)furo[2,3-c]pyridine	1-chloro-5-(1-hydroxyethyl)furo[2,3-c]pyridine
1.1.1.1	1-chloro-5-acetylfuro[2,3-c]pyridine	1-chloro-5-acetylfuro[2,3-c]pyridine
1.1.1.1	1-chloropropan-2-ol	1-chloropropan-2-ol
1.1.1.1	1-decalone	1-decalone
1.1.1.1	1-decanol	1-decanol
1.1.1.1	1-dodecanol	1-dodecanol
1.1.1.1	1-ethoxy-2,2,2-trifluoroethanol	1-ethoxy-2,2,2-trifluoroethanol
1.1.1.1	1-formyl-6-methylpyrene	1-formyl-6-methylpyrene
1.1.1.1	1-formyl-8-methylpyrene	1-formyl-8-methylpyrene
1.1.1.1	1-formylpyrene	1-formylpyrene
1.1.1.1	1-heptanal	1-heptanal
1.1.1.1	1-heptanol	1-heptanol
1.1.1.1	1-hexanal	1-hexanal
1.1.1.1	1-hexanol	1-hexanol
1.1.1.1	1-hexanone	1-hexanone
1.1.1.1	1-hydroxy-2-butanone	1-hydroxy-2-butanone
1.1.1.1	1-hydroxymethyl-6-methylpyrene	1-hydroxymethyl-6-methylpyrene
1.1.1.1	1-hydroxymethyl-8-methylpyrene	1-hydroxymethyl-8-methylpyrene
1.1.1.1	1-hydroxymethylpyrene	1-hydroxymethylpyrene
1.1.1.1	1-indanol	1-indanol
1.1.1.1	1-indanone	1-indanone
1.1.1.1	1-nonanol	1-nonanol
1.1.1.1	1-octanal	1-octanal
1.1.1.1	1-octanol	1-octanol
1.1.1.1	1-pentanal	1-pentanal
1.1.1.1	1-pentanol	1-pentanol
1.1.1.1	1-phenyl-1,2-ethanediol	1-phenyl-1,2-ethanediol
1.1.1.1	1-phenyl-1,2-propandione	1-phenyl-1,2-propandione
1.1.1.1	1-phenyl-1,2-propanedione	1-phenyl-1,2-propanedione
1.1.1.1	1-phenyl-1-propanol	1-phenyl-1-propanol
1.1.1.1	1-phenyl-1-propanone	1-phenyl-1-propanone
1.1.1.1	1-phenyl-2-butanone	1-phenyl-2-butanone
1.1.1.1	1-phenyl-2-hydroxy-1-propanone	1-phenyl-2-hydroxy-1-propanone
1.1.1.1	1-phenyl-2-propanol	1-phenyl-2-propanol
1.1.1.1	1-phenyl-2-propanone	1-phenyl-2-propanone
1.1.1.1	1-phenyl-3-butanone	1-phenyl-3-butanone
1.1.1.1	1-phenylbutan-1-one	1-phenylbutan-1-one
1.1.1.1	1-phenylbutan-2-ol	1-phenylbutan-2-ol
1.1.1.1	1-phenylbutan-2-one	1-phenylbutan-2-one
1.1.1.1	1-phenylbutan-3-ol	1-phenylbutan-3-ol
1.1.1.1	1-phenylethanol	1-phenylethanol
1.1.1.1	1-phenylethanone	1-phenylethanone
1.1.1.1	1-phenylpropan-1-ol	1-phenylpropan-1-ol
1.1.1.1	1-phenylpropan-1-one	1-phenylpropan-1-one
1.1.1.1	1-propanol	1-propanol
1.1.1.1	1-pyridin-3-ylethanol	1-pyridin-3-ylethanol
1.1.1.1	1-pyridin-4-ylethanol	1-pyridin-4-ylethanol
1.1.1.1	11-cis-retinal	11-cis-retinal
1.1.1.1	11-cis-retinol	11-cis-retinol
1.1.1.1	12-Hydroxydodecanoic acid	12-hydroxydodecanoic acid
1.1.1.1	12-hydroxydodecanoate	12-hydroxydodecanoate
1.1.1.1	12-hydroxylauric acid methyl ester	12-hydroxylauric acid methyl ester
1.1.1.1	12-oxododecanoic acid	12-oxododecanoic acid
1.1.1.1	12-oxolauric acid methyl ester	12-oxolauric acid methyl ester
1.1.1.1	13-cis-retinal	13-cis-retinal
1.1.1.1	13-cis-retinol	13-cis-retinol
1.1.1.1	16-hydroxyhexadecanoate	16-hydroxyhexadecanoate
1.1.1.1	16-oxohexadecanoic acid	16-oxohexadecanoic acid
1.1.1.1	17-hydroxy-3-oxo-5beta-cholanoate	17-hydroxy-3-oxo-5beta-cholanoate
1.1.1.1	17beta-hydroxyetiocholan-3-one	17beta-hydroxyetiocholan-3-one
1.1.1.1	2',3',4',5',6'-pentafluoroacetophenone	2',3',4',5',6'-pentafluoroacetophenone
1.1.1.1	2,2'-dichlorobenzil	2,2'-dichlorobenzil
1.1.1.1	2,2,2-trichloroethanol	2,2,2-trichloroethanol
1.1.1.1	2,2,2-trifluoro-1-phenylethanol	2,2,2-trifluoro-1-phenylethanol
1.1.1.1	2,2,2-trifluoro-1-phenylethanone	2,2,2-trifluoro-1-phenylethanone
1.1.1.1	2,2,2-trifluoroacetophenone	2,2,2-trifluoroacetophenone
1.1.1.1	2,2,2-trifluoroethanol	2,2,2-trifluoroethanol
1.1.1.1	2,2,2-trifluoroethanone	2,2,2-trifluoroethanone
1.1.1.1	2,2-dichloro-1-phenylethanol	2,2-dichloro-1-phenylethanol
1.1.1.1	2,2-dichloroacetophenone	2,2-dichloroacetophenone
1.1.1.1	2,2-difluoro-1-phenylethanone	2,2-difluoro-1-phenylethanone
1.1.1.1	2,3'-dichloroacetophenone	2,3'-dichloroacetophenone
1.1.1.1	2,3,4,5,6-pentafluorobenzaldehyde	2,3,4,5,6-pentafluorobenzaldehyde
1.1.1.1	2,3,4,5,6-pentafluorobenzyl alcohol	2,3,4,5,6-pentafluorobenzyl alcohol
1.1.1.1	2,3-Butanediol	2,3-butanediol
1.1.1.1	2,3-butandiol	2,3-butandiol
1.1.1.1	2,3-butanediol	2,3-butanediol
1.1.1.1	2,3-butanedione	2,3-butanedione
1.1.1.1	2,3-pentanedione	2,3-pentanedione
1.1.1.1	2,4-dihydroxybutane	2,4-dihydroxybutane
1.1.1.1	2,4-pentanediol	2,4-pentanediol
1.1.1.1	2-(3,5-dimethylphenyl)propanal	2-(3,5-dimethylphenyl)propanal
1.1.1.1	2-(3-benzoylphenyl)propanal	2-(3-benzoylphenyl)propanal
1.1.1.1	2-(3-fluorobiphenyl-4-yl)propanal	2-(3-fluorobiphenyl-4-yl)propanal
1.1.1.1	2-(3-phenoxyphenyl)propanal	2-(3-phenoxyphenyl)propanal
1.1.1.1	2-(4-isobutylphenyl)propanal	2-(4-isobutylphenyl)propanal
1.1.1.1	2-(4-trifluoromethylphenyl)propanal	2-(4-trifluoromethylphenyl)propanal
1.1.1.1	2-(6-methoxynaphthalen-2-yl)propanal	2-(6-methoxynaphthalen-2-yl)propanal
1.1.1.1	2-(naphthalen-1-yl)propanal	2-(naphthalen-1-yl)propanal
1.1.1.1	2-(naphthalen-2-yl)propanal	2-(naphthalen-2-yl)propanal
1.1.1.1	2-Buten-1-ol	2-buten-1-ol
1.1.1.1	2-Heptanone	2-heptanone
1.1.1.1	2-Hexanone	2-hexanone
1.1.1.1	2-Methylcyclohexanol	2-methylcyclohexanol
1.1.1.1	2-Octanone	2-octanone
1.1.1.1	2-Pentanol	2-pentanol
1.1.1.1	2-Pentanone	2-pentanone
1.1.1.1	2-[3-(2-phenyl-1,3-dioxolan-2-yl)phenyl]propanal	2-[3-(2-phenyl-1,3-dioxolan-2-yl)phenyl]propanal
1.1.1.1	2-acetylcyclohexanol	2-acetylcyclohexanol
1.1.1.1	2-acetylcyclohexanone	2-acetylcyclohexanone
1.1.1.1	2-acetylcyclopentanol	2-acetylcyclopentanol
1.1.1.1	2-acetylcyclopentanone	2-acetylcyclopentanone
1.1.1.1	2-acetylfuran	2-acetylfuran
1.1.1.1	2-acetylpyridine	2-acetylpyridine
1.1.1.1	2-acetylpyrrole	2-acetylpyrrole
1.1.1.1	2-acetylthiazole	2-acetylthiazole
1.1.1.1	2-acetylthiophene	2-acetylthiophene
1.1.1.1	2-aminoethanol	2-aminoethanol
1.1.1.1	2-butanol	2-butanol
1.1.1.1	2-butanone	2-butanone
1.1.1.1	2-butene-1-ol	2-butene-1-ol
1.1.1.1	2-chloro-1-(2,4-dichlorophenyl)ethan-1-one	2-chloro-1-(2,4-dichlorophenyl)ethan-1-one
1.1.1.1	2-chloro-1-(2,4-difluorophenyl)ethan-1-one	2-chloro-1-(2,4-difluorophenyl)ethan-1-one
1.1.1.1	2-chloro-1-(3-chlorophenyl)ethanol	2-chloro-1-(3-chlorophenyl)ethanol
1.1.1.1	2-chloro-1-(4-fluorophenyl)ethan-1-one	2-chloro-1-(4-fluorophenyl)ethan-1-one
1.1.1.1	2-chloroacetophenone	2-chloroacetophenone
1.1.1.1	2-chlorocyclohexanone	2-chlorocyclohexanone
1.1.1.1	2-decalone	2-decalone
1.1.1.1	2-decanol	2-decanol
1.1.1.1	2-decanone	2-decanone
1.1.1.1	2-dehydro-3-deoxy-D-gluconate	2-dehydro-3-deoxy-gluconate
1.1.1.1	2-deoxy-D-ribose	2-deoxy-ribose
1.1.1.1	2-ethoxyacetaldehyde	2-ethoxyacetaldehyde
1.1.1.1	2-ethoxyethanol	2-ethoxyethanol
1.1.1.1	2-ethylhexan-1-ol	2-ethylhexan-1-ol
1.1.1.1	2-ethylhexanal	2-ethylhexanal
1.1.1.1	2-fluoro-1-(4-chlorophenyl)ethanone	2-fluoro-1-(4-chlorophenyl)ethanone
1.1.1.1	2-fluoro-1-(4-fluorophenyl)ethanone	2-fluoro-1-(4-fluorophenyl)ethanone
1.1.1.1	2-fluoro-1-(4-iodophenyl)ethanone	2-fluoro-1-(4-iodophenyl)ethanone
1.1.1.1	2-fluoro-1-phenylethanone	2-fluoro-1-phenylethanone
1.1.1.1	2-formylpyrene	2-formylpyrene
1.1.1.1	2-heptanol	2-heptanol
1.1.1.1	2-heptanone	2-heptanone
1.1.1.1	2-hexanol	2-hexanol
1.1.1.1	2-hexanone	2-hexanone
1.1.1.1	2-hydroxy-3-phenylpropane	2-hydroxy-3-phenylpropane
1.1.1.1	2-hydroxyacetophenone	2-hydroxyacetophenone
1.1.1.1	2-hydroxybutyric acid	2-hydroxybutyric acid
1.1.1.1	2-hydroxyhexane	2-hydroxyhexane
1.1.1.1	2-hydroxymethylpyrene	2-hydroxymethylpyrene
1.1.1.1	2-hydroxypentanoate	2-hydroxypentanoate
1.1.1.1	2-mercaptoethanol	2-mercaptoethanol
1.1.1.1	2-methoxyacetaldehyde	2-methoxyacetaldehyde
1.1.1.1	2-methoxybenzaldehyde	2-methoxybenzaldehyde
1.1.1.1	2-methoxybenzyl alcohol	2-methoxybenzyl alcohol
1.1.1.1	2-methoxybenzylalcohol	2-methoxybenzylalcohol
1.1.1.1	2-methoxyethanol	2-methoxyethanol
1.1.1.1	2-methyl-2,4-pentanediol	2-methyl-2,4-pentanediol
1.1.1.1	2-methyl-propan-1-one	2-methyl-propan-1-one
1.1.1.1	2-methylbutan-1-ol	2-methylbutan-1-ol
1.1.1.1	2-methylbutanol	2-methylbutanol
1.1.1.1	2-methylbutyraldehyde	2-methylbutyraldehyde
1.1.1.1	2-methylcyclohexanol	2-methylcyclohexanol
1.1.1.1	2-methylcyclohexanone	2-methylcyclohexanone
1.1.1.1	2-methylpropan-1-ol	2-methylpropan-1-ol
1.1.1.1	2-methylpropanal	2-methylpropanal
1.1.1.1	2-methylpropionaldehyde	2-methylpropionaldehyde
1.1.1.1	2-nitrobenzaldehyde	2-nitrobenzaldehyde
1.1.1.1	2-nitrobenzyl alcohol	2-nitrobenzyl alcohol
1.1.1.1	2-nonanol	2-nonanol
1.1.1.1	2-nonanone	2-nonanone
1.1.1.1	2-octanol	2-octanol
1.1.1.1	2-octanone	2-octanone
1.1.1.1	2-oxo-3-methylpentane	2-oxo-3-methylpentane
1.1.1.1	2-oxo-3-phenylpropane	2-oxo-3-phenylpropane
1.1.1.1	2-oxo-4-methylpentane	2-oxo-4-methylpentane
1.1.1.1	2-oxo-butyric acid	2-oxo-butyric acid
1.1.1.1	2-oxohexane	2-oxohexane
1.1.1.1	2-oxopentane	2-oxopentane
1.1.1.1	2-oxopentanoate	2-oxopentanoate
1.1.1.1	2-oxopropanal	2-oxopropanal
1.1.1.1	2-pentanol	2-pentanol
1.1.1.1	2-pentanone	2-pentanone
1.1.1.1	2-phenylcyclohexanone	2-phenylcyclohexanone
1.1.1.1	2-phenylethanol	2-phenylethanol
1.1.1.1	2-phenylethanone	2-phenylethanone
1.1.1.1	2-phenylpropanal	2-phenylpropanal
1.1.1.1	2-phenylpropanol	2-phenylpropanol
1.1.1.1	2-phenylpropionaldehyde	2-phenylpropionaldehyde
1.1.1.1	2-propanol	2-propanol
1.1.1.1	2-propanone	2-propanone
1.1.1.1	3',4'-dimethoxyphenylacetone	3',4'-dimethoxyphenylacetone
1.1.1.1	3'-bromoacetophenone	3'-bromoacetophenone
1.1.1.1	3'-chloroacetophenone	3'-chloroacetophenone
1.1.1.1	3'-methoxyacetophenone	3'-methoxyacetophenone
1.1.1.1	3,3,5-trimethylcyclohexanone	3,3,5-trimethylcyclohexanone
1.1.1.1	3,4-dihydro-retinal	3,4-dihydro-retinal
1.1.1.1	3,4-dihydro-retinol	3,4-dihydro-retinol
1.1.1.1	3,4-dihydronaphthalen-1(2H)-one	3,4-dihydronaphthalen-1(2h)-one
1.1.1.1	3,4-dimethylbenzaldehyde	3,4-dimethylbenzaldehyde
1.1.1.1	3,4-dimethylbenzyl alcohol	3,4-dimethylbenzyl alcohol
