id,name,unit_name,emptyspace,fakerank
96163,"C15:1,n-5",MG,,63001
96164,C16:0,MG,,63001
96165,C16:0 /100g FA,MG,,63001
96166,C16:0 ex Br /100g FA,MG,,63001
96167,C16:1 /100g FA,MG,,63001
96168,C16:1 cis,MG,,63001
96169,C16:1 trans,MG,,63001
96170,"C16:1,n-7",MG,,63001
96171,"C16:1,n-7,trans",MG,,63001
96172,C16:2 /100g FA,MG,,63001
96173,C16:4 /100g FA,MG,,63001
96174,C17:0,MG,,63001
96175,C17:0 /100g FA,MG,,63001
96176,C17:0 ex Br /100g FA,MG,,63001
96177,C17:1 /100g FA,MG,,63001
96178,"C17:1,n-7",MG,,63001
96179,C18:0,MG,,63001
96180,C18:0 /100g FA,MG,,63001
96181,C18:0 ex Br /100g FA,MG,,63001
96182,C18:1 /100g FA,MG,,63001
96183,C18:1 cis,MG,,63001
96184,"C18:1,n-12",MG,,63001
96185,"C18:1,n-7",MG,,63001
96186,"C18:1,n-9",MG,,63001
96187,"C18:1,trans",MG,,63001
96188,C18:2 /100g FA,MG,,63001
96189,C18:2 cis trans,MG,,63001
96190,C18:2 n-6 trans,MG,,63001
96191,C18:2 n-9 cis,MG,,63001
96192,C18:2 remainder,MG,,63001
96193,C18:2 trans cis,MG,,63001
96194,"C18:2,conjugated",MG,,63001
96195,"C18:2,konjugeret",MG,,63001
96196,"C18:2,n-6",MG,,63001
96197,"C18:2,trans",MG,,63001
96198,C18:3 /100g FA,MG,,63001
96199,C18:3 n-3 cis (ALA),MG,,63001
96200,C18:3 n-3 trans,MG,,63001
96201,C18:3 n-6 cis,MG,,63001
96202,"C18:3,n-3",MG,,63001
96203,"C18:3,n-6",MG,,63001
96204,"C18:3,trans",MG,,63001
96205,C18:4 /100g FA,MG,,63001
96206,C18:4 n-3 cis,MG,,63001
96207,"C18:4,n-3",MG,,63001
96208,C19:0,MG,,63001
96209,C19:0 /100g FA,MG,,63001
96210,C20:0,MG,,63001
96211,C20:0 /100g FA,MG,,63001
96212,C20:0 ex Br /100g FA,MG,,63001
96213,C20:1 /100g FA,MG,,63001
96214,C20:1 cis,MG,,63001
96215,C20:1 trans,MG,,63001
96216,"C20:1,n-11",MG,,63001
96217,"C20:1,n-15",MG,,63001
96218,"C20:1,n-9",MG,,63001
96219,"C20:1,trans",MG,,63001
96220,C20:2 /100g FA,MG,,63001
96221,C20:2 n-6 cis,MG,,63001
96222,C20:2 n-6 trans,MG,,63001
96223,"C20:2,n-6",MG,,63001
96224,C20:3 /100g FA,MG,,63001
96225,C20:3 n-3 cis,MG,,63001
96226,C20:3 n-6 cis,MG,,63001
96227,C20:3 n-9 cis,MG,,63001
96228,"C20:3,n-3",MG,,63001
96229,"C20:3,n-6",MG,,63001
96230,C20:4 /100g FA,MG,,63001
96231,C20:4 n-3 cis,MG,,63001
96232,C20:4 n-6 cis,MG,,63001
96233,"C20:4,n-3",MG,,63001
96234,"C20:4,n-6",MG,,63001
96235,C20:5 /100g FA,MG,,63001
96236,C20:5 n-3 cis (EPA),MG,,63001
96237,"C20:5,n-3",MG,,63001
96238,C21:0,MG,,63001
96239,C21:5 /100g FA,MG,,63001
96240,C21:5 n-3 all-cis,MG,,63001
96241,"C21:5,n-3",MG,,63001
96242,C22:0,MG,,63001
96243,C22:0 /100g FA,MG,,63001
96244,C22:0 ex Br /100g FA,MG,,63001
96245,C22:1 /100g FA,MG,,63001
96246,C22:1 cis,MG,,63001
96247,C22:1 trans,MG,,63001
96248,"C22:1,n-11",MG,,63001
96249,"C22:1,n-9",MG,,63001
96250,"C22:1,trans",MG,,63001
96251,C22:2 /100g FA,MG,,63001
96252,C22:2 n-3 cis,MG,,63001
96253,C22:2 n-6 cis,MG,,63001
96254,"C22:2,n-6",MG,,63001
96255,C22:3 n-3 cis,MG,,63001
96256,"C22:3,n-3",MG,,63001
96257,C22:4 /100g FA,MG,,63001
96258,C22:4 n-6 cis,MG,,63001
96259,"C22:4,n-6",MG,,63001
96260,C22:5 /100g FA,MG,,63001
96261,C22:5 n-3 cis (DPA),MG,,63001
96262,C22:5 n-6 cis,MG,,63001
96263,"C22:5,n-3",MG,,63001
96264,"C22:5,n-6",MG,,63001
96265,C22:6 /100g FA,MG,,63001
96266,C22:6 n-3 cis (DHA),MG,,63001
96267,"C22:6,n-3",MG,,63001
