id,name,unit_name,source
101113,Tryptophane,MG,WAFCT_2019.xlsx
101114,Vitamin B12,MG,WAFCT_2019.xlsx
101115,Vitamin B12 (mcg),MG,WAFCT_2019.xlsx
101116,Vitamin B6,MG,WAFCT_2019.xlsx
101117,Vitamin B6 (mg),MG,WAFCT_2019.xlsx
101118,Vitamin C,MG,WAFCT_2019.xlsx
101119,Vitamin C (mg),MG,WAFCT_2019.xlsx
101120,Vitamin D,MG,WAFCT_2019.xlsx
101121,Vitamin D (mcg),MG,WAFCT_2019.xlsx
101122,Vitamine A (exprimée en équivalent rétinol),MG,WAFCT_2019.xlsx
101123,Vitamine B12,MG,WAFCT_2019.xlsx
101124,Vitamine B6,MG,WAFCT_2019.xlsx
101125,Vitamine C,MG,WAFCT_2019.xlsx
101126,Vitamine D,MG,WAFCT_2019.xlsx
101127,Zinc (mg),MG,WAFCT_2019.xlsx
101128,Énergie,MG,WAFCT_2019.xlsx
101129,Équivalent bêta-carotène ou [bêta-carotène],MG,WAFCT_2019.xlsx
