id,name,unit_name,source
103107,CYS,MG,Frida_5.5_Dataset.ods
103108,Cadaverin,MG,Frida_5.5_Dataset.ods
103109,Cadaverine,MG,Frida_5.5_Dataset.ods
103110,ChEBI,MG,Frida_5.5_Dataset.ods
103111,ChEMBL,MG,Frida_5.5_Dataset.ods
103112,Cholin,MG,Frida_5.5_Dataset.ods
103113,Citronsyre,MG,Frida_5.5_Dataset.ods
103114,Cobolt,MG,Frida_5.5_Dataset.ods
103115,Crude fibre,MG,Frida_5.5_Dataset.ods
103116,Cystin,MG,Frida_5.5_Dataset.ods
103117,D-mælkesyre,MG,Frida_5.5_Dataset.ods
103118,D-vitamin,MG,Frida_5.5_Dataset.ods
103119,D2-vitamin,MG,Frida_5.5_Dataset.ods
103120,D3-vitamin,MG,Frida_5.5_Dataset.ods
103121,DEN,MG,Frida_5.5_Dataset.ods
103122,DISAC,MG,Frida_5.5_Dataset.ods
103123,DRYMAT,MG,Frida_5.5_Dataset.ods
103124,Dehydroascorbinsyre,MG,Frida_5.5_Dataset.ods
103125,Density,MG,Frida_5.5_Dataset.ods
103126,Dietary fibre,MG,Frida_5.5_Dataset.ods
103127,Dietary fibre and starch,MG,Frida_5.5_Dataset.ods
103128,Dry matter,MG,Frida_5.5_Dataset.ods
103129,E-vitamin,MG,Frida_5.5_Dataset.ods
103130,ENERC,MG,Frida_5.5_Dataset.ods
103131,ERGCAL,MG,Frida_5.5_Dataset.ods
103132,ERGCALOH,MG,Frida_5.5_Dataset.ods
103133,Eddikesyre,MG,Frida_5.5_Dataset.ods
103134,F10:0,MG,Frida_5.5_Dataset.ods
103135,F12:0,MG,Frida_5.5_Dataset.ods
103136,F12:1CIS,MG,Frida_5.5_Dataset.ods
103137,F13:0,MG,Frida_5.5_Dataset.ods
103138,F14:0,MG,Frida_5.5_Dataset.ods
103139,F14:1CN5,MG,Frida_5.5_Dataset.ods
103140,F14:1TN5,MG,Frida_5.5_Dataset.ods
103141,F15:0,MG,Frida_5.5_Dataset.ods
103142,F15:1CIS,MG,Frida_5.5_Dataset.ods
103143,F16:0,MG,Frida_5.5_Dataset.ods
103144,F16:1CN7,MG,Frida_5.5_Dataset.ods
103145,F16:1TN7,MG,Frida_5.5_Dataset.ods
103146,F17:0,MG,Frida_5.5_Dataset.ods
103147,F17:1CIS,MG,Frida_5.5_Dataset.ods
103148,F18:0,MG,Frida_5.5_Dataset.ods
103149,F18:1CN12,MG,Frida_5.5_Dataset.ods
103150,F18:1CN7,MG,Frida_5.5_Dataset.ods
103151,F18:1CN9,MG,Frida_5.5_Dataset.ods
103152,F18:1TRS,MG,Frida_5.5_Dataset.ods
103153,F18:2CN6,MG,Frida_5.5_Dataset.ods
103154,F18:2CON,MG,Frida_5.5_Dataset.ods
103155,F18:2TRS,MG,Frida_5.5_Dataset.ods
103156,F18:3CN3,MG,Frida_5.5_Dataset.ods
103157,F18:3CN6,MG,Frida_5.5_Dataset.ods
103158,F18:3TRS,MG,Frida_5.5_Dataset.ods
103159,F18:4CN3,MG,Frida_5.5_Dataset.ods
103160,F20:0,MG,Frida_5.5_Dataset.ods
103161,F20:1CN11,MG,Frida_5.5_Dataset.ods
103162,F20:1CN9,MG,Frida_5.5_Dataset.ods
103163,F20:1TRS,MG,Frida_5.5_Dataset.ods
103164,F20:2CN6,MG,Frida_5.5_Dataset.ods
103165,F20:3CN3,MG,Frida_5.5_Dataset.ods
103166,F20:3CN6,MG,Frida_5.5_Dataset.ods
103167,F20:4CN3,MG,Frida_5.5_Dataset.ods
103168,F20:4CN6,MG,Frida_5.5_Dataset.ods
103169,F20:5CN3,MG,Frida_5.5_Dataset.ods
103170,F21:0,MG,Frida_5.5_Dataset.ods
103171,F21:5CN3,MG,Frida_5.5_Dataset.ods
103172,F22:0,MG,Frida_5.5_Dataset.ods
103173,F22:1CN11,MG,Frida_5.5_Dataset.ods
103174,F22:1CN9,MG,Frida_5.5_Dataset.ods
103175,F22:1TRS,MG,Frida_5.5_Dataset.ods
103176,F22:2CN6,MG,Frida_5.5_Dataset.ods
103177,F22:3CN3,MG,Frida_5.5_Dataset.ods
103178,F22:4CN6,MG,Frida_5.5_Dataset.ods
103179,F22:5CN3,MG,Frida_5.5_Dataset.ods
103180,F22:5N6,MG,Frida_5.5_Dataset.ods
103181,F22:6CN3,MG,Frida_5.5_Dataset.ods
103182,F23:0,MG,Frida_5.5_Dataset.ods
103183,F24:0,MG,Frida_5.5_Dataset.ods
103184,F24:1CN9,MG,Frida_5.5_Dataset.ods
103185,F4:0,MG,Frida_5.5_Dataset.ods
103186,F6:0,MG,Frida_5.5_Dataset.ods
103187,F8:0,MG,Frida_5.5_Dataset.ods
103188,FACF,MG,Frida_5.5_Dataset.ods
103189,FAMS,MG,Frida_5.5_Dataset.ods
103190,FAN3,MG,Frida_5.5_Dataset.ods
103191,FAN6,MG,Frida_5.5_Dataset.ods
103192,FAPU,MG,Frida_5.5_Dataset.ods
103193,FASAT,MG,Frida_5.5_Dataset.ods
103194,FAUN,MG,Frida_5.5_Dataset.ods
103195,FIBC,MG,Frida_5.5_Dataset.ods
103196,FIBHMWS,MG,Frida_5.5_Dataset.ods
103197,FIBINS,MG,Frida_5.5_Dataset.ods
103198,FIBLMW,MG,Frida_5.5_Dataset.ods
103199,FIBT,MG,Frida_5.5_Dataset.ods
103200,FOL,MG,Frida_5.5_Dataset.ods
103201,FOLFRE,MG,Frida_5.5_Dataset.ods
103202,FRUS,MG,Frida_5.5_Dataset.ods
103203,Faktorer m.m.,MG,Frida_5.5_Dataset.ods
103204,Fedt,MG,Frida_5.5_Dataset.ods
103205,Fedtsyrekonverteringsfaktor,MG,Frida_5.5_Dataset.ods
103206,Fluor,MG,Frida_5.5_Dataset.ods
103207,Folat,MG,Frida_5.5_Dataset.ods
103208,Formula,MG,Frida_5.5_Dataset.ods
103209,Fosfor,MG,Frida_5.5_Dataset.ods
103210,Free Sugars,MG,Frida_5.5_Dataset.ods
103211,Frie sukkerarter,MG,Frida_5.5_Dataset.ods
103212,Frit folat,MG,Frida_5.5_Dataset.ods
103213,Fruktose,MG,Frida_5.5_Dataset.ods
103214,FødevareGruppe,MG,Frida_5.5_Dataset.ods
103215,FødevareNavn,MG,Frida_5.5_Dataset.ods
103216,GALS,MG,Frida_5.5_Dataset.ods
103217,GLU,MG,Frida_5.5_Dataset.ods
103218,GLUS,MG,Frida_5.5_Dataset.ods
103219,GLY,MG,Frida_5.5_Dataset.ods
103220,GRP_AM,MG,Frida_5.5_Dataset.ods
103221,GRP_MIN,MG,Frida_5.5_Dataset.ods
103222,GRP_SUGOH,MG,Frida_5.5_Dataset.ods
103223,Galaktose,MG,Frida_5.5_Dataset.ods
103224,Glukose,MG,Frida_5.5_Dataset.ods
103225,Glutaminsyre,MG,Frida_5.5_Dataset.ods
103226,Glycin,MG,Frida_5.5_Dataset.ods
103227,HIS,MG,Frida_5.5_Dataset.ods
103228,HISTN,MG,Frida_5.5_Dataset.ods
103229,HMDB,MG,Frida_5.5_Dataset.ods
103230,HYP,MG,Frida_5.5_Dataset.ods
103231,Hieraky,MG,Frida_5.5_Dataset.ods
103232,Histamin,MG,Frida_5.5_Dataset.ods
103233,Histamine,MG,Frida_5.5_Dataset.ods
103234,Hydroxyprolin,MG,Frida_5.5_Dataset.ods
103235,Høj molekylevægt opløselige kostfibre,MG,Frida_5.5_Dataset.ods
103236,ILE,MG,Frida_5.5_Dataset.ods
103237,ISBN,MG,Frida_5.5_Dataset.ods
103238,ISOMALT,MG,Frida_5.5_Dataset.ods
103239,ISSN,MG,Frida_5.5_Dataset.ods
103240,Ikke benyttet,MG,Frida_5.5_Dataset.ods
103241,Insoluble dietary fibers,MG,Frida_5.5_Dataset.ods
103242,Isoleucin,MG,Frida_5.5_Dataset.ods
103243,Isomalt,MG,Frida_5.5_Dataset.ods
103244,Issue,MG,Frida_5.5_Dataset.ods
103245,Jern,MG,Frida_5.5_Dataset.ods
103246,Jod,MG,Frida_5.5_Dataset.ods
103247,K-vitamin,MG,Frida_5.5_Dataset.ods
103248,K1-vitamin,MG,Frida_5.5_Dataset.ods
103249,K2-vitamin,MG,Frida_5.5_Dataset.ods
103250,KEGG,MG,Frida_5.5_Dataset.ods
103251,Kalium,MG,Frida_5.5_Dataset.ods
103252,Kobber,MG,Frida_5.5_Dataset.ods
103253,Koffein,MG,Frida_5.5_Dataset.ods
103254,Kolesterol,MG,Frida_5.5_Dataset.ods
103255,Kostfibre,MG,Frida_5.5_Dataset.ods
