nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
250041	Fatty acid 17:0	fatty acid 17:0	fatty acid 17:0	fatty acid 17:0	fatty acid 17 0	0	1004	lipid	fat_to_fatty_acids
250042	Fatty acid 18:0	fatty acid 18:0	fatty acid 18:0	fatty acid 18:0	fatty acid 18 0	0	1004	lipid	fat_to_fatty_acids
250043	Fatty acid 20:0	fatty acid 20:0	fatty acid 20:0	fatty acid 20:0	fatty acid 20 0	0	1004	lipid	fat_to_fatty_acids
250044	Fatty acid 22:0	fatty acid 22:0	fatty acid 22:0	fatty acid 22:0	fatty acid 22 0	0	1004	lipid	fat_to_fatty_acids
250045	Fatty acid 24:0	fatty acid 24:0	fatty acid 24:0	fatty acid 24:0	fatty acid 24 0	0	1004	lipid	fat_to_fatty_acids
250046	Fatty acid 10:1	fatty acid 10:1	fatty acid 10:1	fatty acid 10:1	fatty acid 10 1	0	1004	lipid	fat_to_fatty_acids
250047	Fatty acid 14:1	fatty acid 14:1	fatty acid 14:1	fatty acid 14:1	fatty acid 14 1	0	1004	lipid	fat_to_fatty_acids
250048	Fatty acid 15:1	fatty acid 15:1	fatty acid 15:1	fatty acid 15:1	fatty acid 15 1	0	1004	lipid	fat_to_fatty_acids
250049	Fatty acid 16:1	fatty acid 16:1	fatty acid 16:1	fatty acid 16:1	fatty acid 16 1	0	1004	lipid	fat_to_fatty_acids
250050	Fatty acid 17:1	fatty acid 17:1	fatty acid 17:1	fatty acid 17:1	fatty acid 17 1	0	1004	lipid	fat_to_fatty_acids
250051	Fatty acid 18:1 undifferentiated	fatty acid 18:1 undifferentiated	fatty acid 18:1 undifferentiated	fatty acid 18:1 undifferentiated	fatty acid 18 1 undifferentiated	0	1004	lipid	fat_to_fatty_acids
250052	Fatty acid 20:1	fatty acid 20:1	fatty acid 20:1	fatty acid 20:1	fatty acid 20 1	0	1004	lipid	fat_to_fatty_acids
250053	Fatty acid 22:1	fatty acid 22:1	fatty acid 22:1	fatty acid 22:1	fatty acid 22 1	0	1004	lipid	fat_to_fatty_acids
250054	Fatty acid 24:1	fatty acid 24:1	fatty acid 24:1	fatty acid 24:1	fatty acid 24 1	0	1004	lipid	fat_to_fatty_acids
250055	Fatty acid 16:2	fatty acid 16:2	fatty acid 16:2	fatty acid 16:2	fatty acid 16 2	0	1004	lipid	fat_to_fatty_acids
250056	Fatty acid 16:3	fatty acid 16:3	fatty acid 16:3	fatty acid 16:3	fatty acid 16 3	0	1004	lipid	fat_to_fatty_acids
